pursuit_id,parent_account_id,entity_client_id,entity_client_name,relationship_lead,service_line,opportunity_name,stage,estimated_value,probability_pct,risk_level,blocker,next_action,next_action_owner,next_action_due_date,last_updated_utc
ML-001,C122868,C122868,King Group,Jordan Patel,Tax,Tax cross-sell opportunity from ML propensity score (1.0),Prioritized,220000,100.0,Low,,Schedule executive discovery and confirm scope,Shane Henderson,2026-05-20,2026-05-13T20:19:26Z
ML-002,C123507,C123507,Obrien-Gibbs,Jordan Patel,Assurance,Assurance cross-sell opportunity from ML propensity score (1.0),Prioritized,230000,100.0,Low,,Schedule executive discovery and confirm scope,Jeffrey Chavez,2026-05-20,2026-05-13T20:19:26Z
ML-003,C103600,C103600,Lakeshore County Government,Jordan Patel,Digital,Digital cross-sell opportunity from ML propensity score (0.9993),Prioritized,230000,99.93,Low,,Schedule executive discovery and confirm scope,Noah Rhodes,2026-05-20,2026-05-13T20:19:26Z
ML-004,C100377,C100377,North Ridge Health Group,Jordan Patel,Tax,Tax cross-sell opportunity from ML propensity score (0.947),Prioritized,230000,94.7,Low,,Schedule executive discovery and confirm scope,Lauren Mitchell,2026-05-20,2026-05-13T20:19:26Z
ML-005,C115847,C115847,Williams Group,Jordan Patel,Digital,Digital cross-sell opportunity from ML propensity score (0.8957),Prioritized,190000,89.57,Low,,Schedule executive discovery and confirm scope,Amber Kidd,2026-05-20,2026-05-13T20:19:26Z
ML-006,C114171,C114171,Stein-Silva,Jordan Patel,Assurance,Assurance cross-sell opportunity from ML propensity score (0.2075),Prioritized,140000,20.75,High,No active engagement in current cycle,Re-open relationship and run qualification call,Michele Williams,2026-05-20,2026-05-13T20:19:26Z
ML-007,C118014,C118014,"Trujillo, Hogan and Knight",Jordan Patel,Assurance,Assurance cross-sell opportunity from ML propensity score (0.0361),Prioritized,100000,3.61,High,No active engagement in current cycle,Re-open relationship and run qualification call,Ryan Munoz,2026-05-20,2026-05-13T20:19:26Z
ML-008,C101820,C101820,Cascade-backed Apex Logistics LLC,Jordan Patel,Assurance,Assurance cross-sell opportunity from ML propensity score (0.0252),Prioritized,100000,2.52,High,No active engagement in current cycle,Re-open relationship and run qualification call,Carla Gray,2026-05-20,2026-05-13T20:19:26Z
ML-009,C102686,C102686,Cascade-backed Coastal Hardware Co,Jordan Patel,Assurance,Assurance cross-sell opportunity from ML propensity score (0.0252),Prioritized,100000,2.52,High,No active engagement in current cycle,Re-open relationship and run qualification call,Brent Jordan,2026-05-20,2026-05-13T20:19:26Z
ML-010,C105993,C105993,Apex Brokerage & Logistics LLC,Jordan Patel,Assurance,Assurance cross-sell opportunity from ML propensity score (0.0206),Prioritized,100000,2.06,High,"Low signal confidence, requires sponsor validation",Re-open relationship and run qualification call,Angelica Tucker,2026-05-20,2026-05-13T20:19:26Z
